gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Smp_188200	607.0091869659616	5.481882643551702	0.4873686781848122	11.247917416377238	2.371248258767702e-29	1.6323205443277667e-27
Smp_302860	15598.121911705002	5.620304355335234	0.5022332396981863	11.19062601016356	4.532224130982058e-29	3.098076285339134e-27
Smp_095480	762.5459425575007	6.503391260933876	0.5811853892760558	11.18987397297568	4.5708283792923e-29	3.1027671810820997e-27
Smp_312630	18512.945827515887	5.852061191233116	0.5232531877198886	11.183995298210933	4.8840569524221446e-29	3.292528048960445e-27
Smp_341490	1889.1652339189268	4.746745418720244	0.42479952297424756	11.17408368419473	5.461106985132834e-29	3.6563233410735245e-27
Smp_329690	2581.5040908826836	7.926004179405778	0.7110719059257318	11.146557912574334	7.443016799494757e-29	4.9493530078272965e-27
Smp_165600	696.8352369750451	8.609125137079054	0.772399858147955	11.14594344660011	7.494575679407969e-29	4.94996468014952e-27
Smp_349090	1375.5220772372427	8.363970723804153	0.7540925909039006	11.091437344290302	1.380515299938876e-28	9.056736279800342e-27
Smp_070250	836.2585993289531	14.083212422494135	1.2711208533409184	11.079365416340137	1.5798832510624757e-28	1.0295572519423801e-26
Smp_337360	427.60768936070957	7.915797771509014	0.7159321861280167	11.056630676600955	2.0360280202412905e-28	1.3180247614475903e-26
Smp_317750	2175.468486895328	9.657635387001436	0.8744018145394904	11.044848291043055	2.3215947811255373e-28	1.4929992753619823e-26
Smp_349380	484.7102740633086	10.874850107983105	0.9846915891403757	11.04391489468974	2.3458465099376357e-28	1.4987352702379338e-26
Smp_093070	1322.2123113219598	6.799298537122034	0.6163497107088145	11.031559549695748	2.6915657355978196e-28	1.7084451341213434e-26
Smp_194100	228.5060310452988	7.226737379440269	0.6583085073041254	10.977736576783537	4.890229665537632e-28	3.0642304474763047e-26
Smp_348000	848.7027109093345	15.29674966979619	1.393427663729284	10.97778526145872	4.887595456693688e-28	3.0642304474763047e-26
Smp_349290	506.05810559313016	11.62671880283208	1.0603528125498725	10.96495304697014	5.632978568341483e-28	3.5071570385692993e-26
Smp_003600	1283.0850519586927	6.06902029315503	0.5563578024086182	10.908484192871308	1.0499237525856735e-27	6.495572583243645e-26
Smp_154370	2372.9662269042124	5.778049097079368	0.5314541225923057	10.872150297556129	1.564689677688061e-27	9.619397232327544e-26
Smp_141550	414.77631412445015	9.450033319318543	0.870672346498471	10.85371937827491	1.9147182073532145e-27	1.1697731548048544e-25
Smp_191400	627.9710954599644	4.9044774656134935	0.4530828116175287	10.824682243195806	2.629897641494001e-27	1.5967235680499293e-25
Smp_303450	913.5763923739933	6.699373570423974	0.6200983091158032	10.803728170097086	3.3050526806011544e-27	1.9942524662269313e-25
Smp_349250	1581.5591787457124	6.477273272921059	0.6003751877569635	10.78870913556659	3.8921800536720486e-27	2.3341141119413665e-25
Smp_336060	1420.912720976959	11.10875062883936	1.030316901035407	10.781877515234127	4.1924002617861365e-27	2.485680209208784e-25
Smp_349580	1331.4223001526766	5.0565794567426945	0.4689919896182806	10.781803460776203	4.195777335237334e-27	2.485680209208784e-25
Smp_349400	2310.7460925444807	11.426912040312974	1.062273490387608	10.757033987681892	5.490906614377141e-27	3.2333501298515998e-25
Smp_323680	2396.1033089564453	11.347410121324756	1.058874865890895	10.716478865307185	8.518482546293749e-27	4.986117777845592e-25
Smp_335460	4507.251846318748	12.505192074489768	1.1705221548183242	10.683430486995514	1.2168994461208127e-26	7.080471479661277e-25
Smp_317790	157.44835961427407	11.848783225526494	1.110026300226963	10.674326566049666	1.3422724469723807e-26	7.763735603050309e-25
Smp_201330	7439.2094354332885	4.959675737373986	0.46503853982735605	10.665085391019954	1.4826279864135757e-26	8.52511092187806e-25
Smp_128430	5258.755268700562	5.6432018258623335	0.5293967739847362	10.659683064153015	1.5713199379340686e-26	8.982252861582176e-25
Smp_348520	4348.336038077777	6.37840524745673	0.600018245972089	10.630352143913694	2.1529799503554188e-26	1.2235685473676872e-24
Smp_173360	120.34343667725854	10.832683064908496	1.019465799833616	10.625842540942978	2.259624195859509e-26	1.2767529777183066e-24
Smp_013210	1979.7371682173546	5.8255049021036065	0.5486761707778508	10.617382733871723	2.474004882792836e-26	1.3898504442126422e-24
Smp_349740	804.1713978133112	9.116737173027337	0.8590623055343611	10.612428358565294	2.608791981560196e-26	1.4571966639857665e-24
Smp_330890	124.58920004092207	9.93519429127418	0.9375020497594866	10.597517406839831	3.0599530876050916e-26	1.6994909904170324e-24
Smp_317690	1074.8615503496146	6.754304617018994	0.6420779723022314	10.519446092817661	7.028555948250579e-26	3.8815895137937516e-24
Smp_334070	165.26381613493663	27.148284446548097	2.5818206219610107	10.515170657335494	7.354753369934535e-26	4.038916527590454e-24
Smp_031020	229.02870588084733	4.172755431391962	0.3970952554546996	10.50819765301373	7.919251553683897e-26	4.324619214372072e-24
Smp_310050	757.0576881796933	4.994215312760651	0.4757606327031556	10.49732779356867	8.886002099951898e-26	4.825592807057211e-24
Smp_327780	634.4064437617513	5.873579368757886	0.5597618044855287	10.492997774573476	9.302906662345127e-26	5.024083570410145e-24
Smp_342120	375.9837396604351	7.190719322724466	0.6880397981730612	10.451022370824834	1.449541100468256e-25	7.7853100313611e-24
Smp_021460	959.8408054819033	5.80837590099376	0.5558847851660449	10.448884473891072	1.4825876089790895e-25	7.919286272005793e-24
Smp_348530	326.4045654370835	8.513848167976123	0.8154462775121963	10.44072234157545	1.61576504448529e-25	8.583751798828103e-24
Smp_318350	980.0395338154786	5.360607625092397	0.5136339262746527	10.436630742000382	1.6869202367595372e-25	8.913321791526744e-24
Smp_125150	667.6845628774702	5.273105077112104	0.5061923861773693	10.417195558655468	2.069660582678777e-25	1.0876845266497337e-23
Smp_349700	687.8146330212053	8.790161062878989	0.8450222774325694	10.402283226882643	2.4206239849729466e-25	1.2653261739631311e-23
Smp_310040	624.6492719771989	4.564040603498648	0.43924456795783723	10.390659182691923	2.7345658287650403e-25	1.4218287753286313e-23
Smp_349150	454.7910715870819	6.097156620109567	0.5874214800996876	10.379526160798303	3.072965770444822e-25	1.5893248892115414e-23
Smp_179250	3964.7945016612384	14.582571483220011	1.411318313336562	10.332588577232224	5.018760585941089e-25	2.5820202488196915e-23
Smp_121230	615.631976186697	6.061527445371223	0.5882295264871933	10.304697694401087	6.710231803588017e-25	3.434163135082349e-23
